Sales_rev,Active_kwh_month,Kwh
5000,105.3,3.51
5000,105.3,3.51
5000,105.3,3.51
5000,105.3,3.51
5000,105.3,3.51
5000,105.3,3.51
5000,105.3,3.51
5000,105.3,3.51
5000,105.3,3.51
5000,105.3,3.51
5000,105.3,3.51
5000,105.3,3.51
5000,105.3,3.51
5000,105.3,3.51
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
7000,105.3,3.12
7000,105.3,3.12
7000,105.3,3.12
7000,105.3,3.12
7000,105.3,3.12
7000,105.3,3.12
7000,105.3,3.12
7000,105.3,3.51
7000,105.3,3.51
7000,105.3,3.51
7000,105.3,3.51
7000,105.3,3.51
7000,105.3,3.51
7000,105.3,3.51
7000,93.6,3.51
7000,93.6,3.51
7000,93.6,3.51
7000,93.6,3.51
7000,93.6,3.51
7000,93.6,3.51
7000,93.6,3.51
7000,93.6,3.51
7000,93.6,3.51
7000,93.6,3.51
7000,93.6,3.51
7000,93.6,3.51
7000,93.6,3.51
7000,93.6,3.51
7000,93.6,3.51
7000,93.6,3.51
7000,93.6,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,105.3,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,3.12
5000,93.6,2.34
5000,93.6,2.34
5000,93.6,2.34
5000,93.6,2.34
5000,93.6,2.34
5000,93.6,2.34
5000,93.6,2.34
5000,93.6,2.34
5000,93.6,2.34
5000,93.6,2.34
5000,93.6,2.34
5000,93.6,2.34
5000,93.6,2.34
5000,93.6,2.34
4000,105.3,2.34
4000,105.3,2.34
4000,105.3,2.34
4000,105.3,2.34
4000,105.3,2.34
4000,105.3,2.34
4000,105.3,2.34
4000,105.3,2.34
4000,105.3,2.34
4000,105.3,2.34
4000,105.3,2.34
4000,105.3,2.34
4000,105.3,2.34
4000,105.3,2.34
4000,93.6,2.34
4000,93.6,3.51
4000,93.6,3.51
4000,93.6,3.51
4000,93.6,3.51
4000,93.6,3.51
4000,93.6,3.51
4000,93.6,3.51
4000,93.6,3.51
4000,93.6,3.51
4000,93.6,3.51
4000,93.6,3.51
4000,93.6,3.51
4000,93.6,3.51
4000,93.6,3.51
4000,93.6,2.34
4000,93.6,2.34
3000,105.3,2.34
3000,105.3,2.34
3000,105.3,2.34
3000,105.3,2.34
3000,105.3,2.34
3000,105.3,2.34
3000,105.3,2.34
3000,105.3,2.34
3000,105.3,2.34
3000,105.3,2.34
3000,105.3,2.34
3000,105.3,2.34
3000,105.3,2.34
3000,105.3,2.34
3000,93.6,2.34
3000,93.6,2.34
3000,93.6,2.34
3000,93.6,2.34
3000,93.6,2.34
3000,93.6,3.51
3000,93.6,3.51
3000,93.6,3.51
3000,93.6,3.51
3000,93.6,3.51
3000,93.6,3.51
3000,93.6,3.51
3000,93.6,3.51
3000,93.6,3.51
3000,93.6,3.51
3000,93.6,3.51
3000,93.6,3.51
1500,105.3,3.51
1500,105.3,3.51
1500,105.3,2.34
1500,105.3,2.34
1500,105.3,2.34
1500,105.3,2.34
1500,105.3,2.34
1500,105.3,2.34
1500,105.3,2.34
1500,105.3,2.34
1500,105.3,2.34
1500,105.3,2.34
1500,105.3,2.34
1500,105.3,2.34
1500,93.6,2.34
1500,93.6,2.34
1500,93.6,2.73
1500,93.6,2.73
1500,93.6,2.73
1500,93.6,2.73
1500,93.6,2.73
1500,93.6,2.73
1500,93.6,2.73
1500,93.6,2.73
1500,93.6,2.73
1500,93.6,2.73
1500,93.6,2.73
1500,93.6,2.73
1500,93.6,2.73
